.	0001010	11233
you	0000010011	5640
?	000000	5406
I	0000111010101011	3913
the	0000111010111000011010110	3786
t_con	00001110101100	3150
to	00001110101110000010010	2955
a	000011101011101000	2947
that	00001110101110000111111	2860
of	000011101011101001010	2440
it	000011100111	2318
do	00000100101	2288
#	00110	1899
in	00001110111000	1814
have	0000101111	1715
Yeah	01	1695
know	000011101010101011	1522
and	000011101011101011001	1338
is	00001110110011	1337
Well	00000111011	1305
what	0000011010	1190
like	0000010100	1155
they	0000111010111000010000	1124
t_laugh	00010011	1117
-	0010	1022
think	000011101011100000110001	1006
Uh-huh	000111	947
for	00001110101110000110000	920
are	0000111010110111	919
t_empty	00000110000	915
about	0000011101010	907
don't	000011101010101010	845
was	00001110000100	838
we	000011101011010	796
--	000110	779
on	000011101010100001	751
just	00001110101110111	747
or	00001110101110010011	743
your	0000011111	636
with	00001110101111101	634
not	000011101011100000001	632
there	000011101101001	631
What	00000100100	628
be	000011101011100000110111	600
it's	0000111010111000001111	588
Do	00000101110	572
No	00001001	550
really	0000111001001	539
all	000011101011100001111011	526
I'm	0000111010111000000000	514
one	0000111000011	504
how	00001110101110011100	490
them	00001110101110101000	469
that's	000011011	468
get	0000111010111000001010	462
if	0000111010111000011011101	461
at	0000111010111100101	459
this	00001110110001	457
kind	000011101011101001011	457
going	0000111010111000001001101	441
go	00001111111	436
right	0001000000	429
out	00001110101110001110	420
did	000011100000101	417
up	00001110110100001	415
You	00001110101010100	412
well	00001110101000101	412
would	000011101011100000110100	405
Okay	0000011001011	400
as	000011101011100010110	399
my	00001110101011011	388
good	0000110100	373
yeah	001110	371
been	00001010001	366
Yes	10	360
now	000100001	353
lot	000011101011101001000	353
How	0000011101011	330
from	000011101110101110	322
so	00001110100011	319
can	000011101011100010100	317
had	00001110101110000101100	316
work	000011101011100001100010	311
see	000001000101	307
any	0000101100	302
where	00001110111010010	299
he	000011100011011100	298
some	000011101011100001110001	287
time	00001110101110000110110001	286
when	000011100000000	286
Right	000011101011100001100101	285
much	000011101001100	280
too	00001110100111	272
got	000011101101111	260
guess	00001110101011111	259
more	000011101011101100000	257
people	00001110101110000001100	255
something	000011101011100101001	247
things	0000111010111000011110010	246
were	000011101011100001000100	246
an	0000111010100100	238
because	00001110101110000111110100	237
me	000011101001001	236
here	000011101101011	234
no	0000111100	232
Is	00001110101110000110101111	226
I've	0000101010100	225
you're	000011101011100001101110010	225
That's	000100011	218
So	00000110110	215
pretty	00001101011	210
other	000011101011100001111010001	209
then	0000111010111000011100100	199
Did	000011111000	193
say	0000111010111000011001100	192
thing	0000111010111010111101	192
Are	0000111010101000110	191
very	000011101010000010	187
little	000011101011100001110110	187
ever	0000101010001	182
year	0000111010111001100110	181
home	00001110101111110111	181
years	0000111010111001101100	178
It's	000011101111011	178
probably	00001110101110010001	176
those	0000111010111000011110011	169
they're	000011101011011000	166
T	000011101010100101000	166
Have	000010101001	165
two	0000111010111001101001	165
anything	00010010101	164
does	0000111010111000011100111	163
way	00001110101110010010000	163
actually	00001100101	163
down	0000111011010101	157
our	00001110101110000011000000	152
want	000011101011100000100010	151
than	000011101011101100011	151
long	000011101011100111011	151
school	00001110111001001	151
It	0000111010000001	151
who	0000111001011101	151
we're	00000111001111	145
didn't	0000111010111000010001110	144
